,PCCF active cases,ONS n low,ONS n mean,ONS n high,React n low,React n mean,React n high
2020-06-30,129864.0,,,,,,
2020-07-01,126320.0,,,,,,
2020-07-02,122807.0,,,,,,
2020-07-03,119515.0,,,,,,
2020-07-04,116411.0,,,,,,
2020-07-05,113536.0,,,,,,
2020-07-06,110856.0,,,,,,
2020-07-07,108255.0,,,,,,
2020-07-08,105712.0,,,,,,
2020-07-09,103304.0,15000.0,24000.0,34000.0,,,
2020-07-10,101015.0,,,,,,
2020-07-11,98679.0,,,,,,
2020-07-12,96111.0,,,,,,
2020-07-13,93325.0,,,,,,
2020-07-14,90342.0,,,,,,
2020-07-15,87247.0,,,,,,
2020-07-16,84232.0,18000.0,27700.0,39900.0,,,
2020-07-17,81622.0,,,,,,
2020-07-18,79485.0,,,,,,
2020-07-19,77725.0,,,,,,
2020-07-20,76350.0,,,,,,
2020-07-21,75382.0,,,,,,
2020-07-22,74704.0,,,,,,
2020-07-23,74163.0,23700.0,35700.0,53200.0,,,
2020-07-24,73743.0,,,,,,
2020-07-25,73442.0,,,,,,
2020-07-26,73227.0,,,,,,
2020-07-27,73073.0,,,,,,
2020-07-28,72937.0,,,,,,
2020-07-29,72881.0,,,,,,
2020-07-30,72825.0,18900.0,28300.0,40800.0,,,
2020-07-31,72623.0,,,,,,
2020-08-01,72314.0,,,,,,
2020-08-02,71993.0,,,,15255.0,22600.0,29945.0
2020-08-03,71670.0,,,,,,
2020-08-04,71300.0,,,,,,
2020-08-05,70861.0,,,,,,
2020-08-06,70430.0,19000.0,28300.0,40700.0,,,
2020-08-07,70213.0,,,,,,
2020-08-08,70170.0,,,,,,
2020-08-09,70406.0,,,,,,
2020-08-10,70770.0,16900.0,24600.0,33800.0,,,
2020-08-11,69123.0,,,,,,
2020-08-12,70028.0,,,,,,
2020-08-13,70931.0,,,,,,
2020-08-14,71629.0,,,,,,
2020-08-15,72160.0,,,,,,
2020-08-16,72528.0,,,,,,
2020-08-17,72737.0,20100.0,28200.0,37900.0,,,
2020-08-18,72782.0,,,,,,
2020-08-19,72662.0,,,,,,
2020-08-20,72634.0,,,,,,
2020-08-21,72676.0,,,,,,
2020-08-22,72830.0,,,,,,
2020-08-23,73060.0,,,,,,
2020-08-24,73379.0,19300.0,27100.0,36700.0,,,
2020-08-25,73815.0,,,,,,
2020-08-26,74346.0,,,,,,
2020-08-27,74973.0,,,,,,
2020-08-28,75353.0,,,,,,
2020-08-29,77037.0,,,,,,
2020-08-30,79058.0,,,,54805.0,71190.0,88140.0
2020-08-31,81498.0,,,,,,
2020-09-01,84260.0,,,,,,
2020-09-02,87407.0,29300.0,39700.0,52700.0,,,
2020-09-03,91036.0,,,,,,
2020-09-04,95036.0,,,,,,
2020-09-05,99448.0,,,,,,
2020-09-06,104099.0,,,,,,
2020-09-07,108962.0,46900.0,59800.0,75200.0,,,
2020-09-08,113915.0,,,,,,
2020-09-09,119092.0,,,,,,
2020-09-10,124234.0,,,,,,
2020-09-11,135685.0,,,,,,
2020-09-12,138659.0,,,,,,
2020-09-13,141233.0,,,,,,
2020-09-14,143664.0,,,,,,
2020-09-15,145917.0,,,,,,
2020-09-16,148092.0,85600.0,103600.0,123400.0,,,
2020-09-17,150263.0,,,,,,
2020-09-18,153323.0,,,,,,
2020-09-19,157797.0,,,,,,
2020-09-20,163357.0,,,,,,
2020-09-21,169961.0,101000.0,116600.0,133100.0,,,
2020-09-22,177730.0,,,,265550.0,310750.0,361600.0
2020-09-23,186407.0,,,,,,
2020-09-24,196422.0,,,,,,
2020-09-25,207785.0,,,,,,
2020-09-26,220386.0,,,,310750.0,339000.0,401150.0
2020-09-27,227486.0,,,,,,
