date,New cases by specimen date,New cases by specimen date (seven-day average),Baseline,recent values,recent average values
2020-09-01,314.0,262.57142857142856,0,,
2020-09-02,333.0,281.2857142857143,0,,
2020-09-03,347.0,291.2857142857143,0,,
2020-09-04,356.0,326.57142857142856,0,,
2020-09-05,270.0,330.57142857142856,0,,
2020-09-06,203.0,332.14285714285717,0,,
2020-09-07,463.0,338.57142857142856,0,,
2020-09-08,342.0,335.14285714285717,0,,
2020-09-09,344.0,329.2857142857143,0,,
2020-09-10,392.0,316.2857142857143,0,,
2020-09-11,332.0,292.57142857142856,0,,
2020-09-12,229.0,282.14285714285717,0,,
2020-09-13,112.0,274.85714285714283,0,,
2020-09-14,297.0,265.0,0,,
2020-09-15,269.0,272.7142857142857,0,,
2020-09-16,293.0,288.2857142857143,0,,
2020-09-17,323.0,330.57142857142856,0,,
2020-09-18,386.0,349.14285714285717,0,,
2020-09-19,338.0,384.85714285714283,0,,
2020-09-20,408.0,437.14285714285717,0,,
2020-09-21,427.0,476.57142857142856,0,,
2020-09-22,519.0,507.42857142857144,0,,
2020-09-23,659.0,537.4285714285714,0,,
2020-09-24,599.0,554.7142857142857,0,,
2020-09-25,602.0,599.7142857142857,0,,
2020-09-26,548.0,625.7142857142857,0,,
2020-09-27,529.0,672.8571428571429,0,,
2020-09-28,742.0,740.1428571428571,0,,
2020-09-29,701.0,802.2857142857143,0,,
2020-09-30,989.0,836.8571428571429,0,,
2020-10-01,1070.0,878.4285714285714,0,,
2020-10-02,1037.0,956.8571428571429,0,,
2020-10-03,790.0,1023.4285714285714,0,,
2020-10-04,820.0,1082.5714285714287,0,,
2020-10-05,1291.0,1140.2857142857142,0,,
2020-10-06,1167.0,1184.142857142857,0,,
2020-10-07,1403.0,1195.857142857143,0,,
2020-10-08,1474.0,1184.5714285714287,0,,
2020-10-09,1344.0,1224.857142857143,0,,
2020-10-10,872.0,1261.142857142857,0,,
2020-10-11,741.0,1292.4285714285713,0,,
2020-10-12,1573.0,1327.5714285714287,0,,
2020-10-13,1421.0,1371.4285714285713,0,,
2020-10-14,1622.0,1405.0,0,,
2020-10-15,1720.0,1484.2857142857142,0,,
2020-10-16,1651.0,1593.142857142857,0,,
