date,Daily deaths,Daily deaths (seven-day average),Baseline,recent values,recent average values
2020-09-01,2.0,6.0,0,,
2020-09-02,8.0,7.0,0,,
2020-09-03,6.0,7.0,0,,
2020-09-04,6.0,8.0,0,,
2020-09-05,12.0,9.0,0,,
2020-09-06,8.0,9.0,0,,
2020-09-07,13.0,10.0,0,,
2020-09-08,9.0,10.0,0,,
2020-09-09,9.0,11.0,0,,
2020-09-10,12.0,12.0,0,,
2020-09-11,10.0,13.0,0,,
2020-09-12,18.0,14.0,0,,
2020-09-13,14.0,15.0,0,,
2020-09-14,17.0,17.0,0,,
2020-09-15,15.0,19.0,0,,
2020-09-16,22.0,19.0,0,,
2020-09-17,24.0,21.0,0,,
2020-09-18,21.0,22.0,0,,
2020-09-19,18.0,24.0,0,,
2020-09-20,28.0,29.0,0,,
2020-09-21,24.0,30.0,0,,
2020-09-22,34.0,31.0,0,,
2020-09-23,52.0,34.0,0,,
2020-09-24,33.0,36.0,0,,
2020-09-25,29.0,39.0,0,,
2020-09-26,35.0,40.0,0,,
2020-09-27,42.0,40.0,0,,
2020-09-28,47.0,43.0,0,,
2020-09-29,43.0,48.0,0,,
2020-09-30,48.0,51.0,0,,
2020-10-01,55.0,52.0,0,,
2020-10-02,64.0,54.0,0,,
2020-10-03,55.0,57.0,0,,
2020-10-04,54.0,61.0,0,,
2020-10-05,59.0,64.0,0,,
2020-10-06,62.0,65.0,0,,
2020-10-07,81.0,70.0,0,,
2020-10-08,76.0,77.0,0,,
2020-10-09,67.0,82.0,0,,
2020-10-10,90.0,86.0,0,,
2020-10-11,103.0,89.0,0,,
2020-10-12,96.0,95.0,0,,
2020-10-13,87.0,103.0,0,,
2020-10-14,101.0,113.0,0,,
2020-10-15,124.0,116.0,0,,
2020-10-16,122.0,125.0,0,,
2020-10-17,161.0,137.0,0,,
2020-10-18,120.0,150.0,0,,
2020-10-19,159.0,159.0,0,,
2020-10-20,171.0,168.0,0,,
2020-10-21,191.0,170.0,0,,
2020-10-22,187.0,182.0,0,,
2020-10-23,188.0,191.0,0,,
2020-10-24,171.0,197.0,0,,
2020-10-25,206.0,204.0,0,,
